"Country","Start Date","End Date"
"SOM","2020-03-17","2020-08-15"
"ZAF","2020-02-07","2020-08-15"
"KOR","2019-12-31","2020-08-15"
"SSD","2020-04-06","2020-08-15"
"ESP","2019-12-31","2020-08-14"
"LKA","2019-12-31","2020-08-15"
"SDN","2020-03-14","2020-08-15"
"SUR","2020-03-15","2020-08-15"
"SWE","2019-12-31","2020-08-15"
"CHE","2019-12-31","2020-08-15"
"TJK","2020-05-01","2020-08-15"
"THA","2019-12-31","2020-08-15"
"TGO","2020-03-04","2020-08-15"
"TTO","2020-03-13","2020-08-15"
"TUN","2020-03-03","2020-08-15"
"TUR","2020-03-12","2020-08-15"
"TCA","2020-03-25","2020-08-15"
"UGA","2020-03-22","2020-08-15"
"UKR","2020-03-04","2020-08-15"
"ARE","2019-12-31","2020-08-15"
"GBR","2019-12-31","2020-08-15"
"USA","2019-12-31","2020-08-15"
"URY","2020-03-15","2020-08-15"
"UZB","2020-03-16","2020-08-15"
"VEN","2020-03-15","2020-08-15"
"VNM","2019-12-31","2020-08-15"
"ESH","2020-04-26","2020-08-15"
"YEM","2020-04-10","2020-08-15"
"ZMB","2020-03-19","2020-08-15"
"ZWE","2020-03-21","2020-08-15"
