"Country","Start Date","End Date"
"AFG","2020-01-22","2020-08-17"
"ALB","2020-01-22","2020-08-17"
"DZA","2020-01-22","2020-08-17"
"AND","2020-01-22","2020-08-17"
"AGO","2020-01-22","2020-08-17"
"ATG","2020-01-22","2020-08-17"
"ARG","2020-01-22","2020-08-17"
"ARM","2020-01-22","2020-08-17"
"AUS","2020-01-22","2020-08-17"
"AUT","2020-01-22","2020-08-17"
"AZE","2020-01-22","2020-08-17"
"BHS","2020-01-22","2020-08-17"
"BHR","2020-01-22","2020-08-17"
"BGD","2020-01-22","2020-08-17"
"BRB","2020-01-22","2020-08-17"
"BLR","2020-01-22","2020-08-17"
"BEL","2020-01-22","2020-08-17"
"BLZ","2020-01-22","2020-08-17"
"BEN","2020-01-22","2020-08-17"
"BTN","2020-01-22","2020-08-17"
"BOL","2020-01-22","2020-08-17"
"BIH","2020-01-22","2020-08-17"
"BWA","2020-01-22","2020-08-17"
"BRA","2020-01-22","2020-08-17"
"BRN","2020-01-22","2020-08-17"
"BGR","2020-01-22","2020-08-17"
"BFA","2020-01-22","2020-08-17"
"BDI","2020-01-22","2020-08-17"
"CPV","2020-01-22","2020-08-17"
"KHM","2020-01-22","2020-08-17"
"CMR","2020-01-22","2020-08-17"
"CAN","2020-01-22","2020-08-17"
"CAF","2020-01-22","2020-08-17"
"TCD","2020-01-22","2020-08-17"
"CHL","2020-01-22","2020-08-17"
"CHN","2020-01-22","2020-08-17"
"COL","2020-01-22","2020-08-17"
"COM","2020-01-22","2020-08-17"
"CRI","2020-01-22","2020-08-17"
"HRV","2020-01-22","2020-08-17"
"CUB","2020-01-22","2020-08-17"
"CYP","2020-01-22","2020-08-17"
"CZE","2020-01-22","2020-08-17"
"DNK","2020-01-22","2020-08-17"
"DJI","2020-01-22","2020-08-17"
"DMA","2020-01-22","2020-08-17"
"DOM","2020-01-22","2020-08-17"
"ECU","2020-01-22","2020-08-17"
"EGY","2020-01-22","2020-08-17"
"SLV","2020-01-22","2020-08-17"
"GNQ","2020-01-22","2020-08-17"
"ERI","2020-01-22","2020-08-17"
"EST","2020-01-22","2020-08-17"
"SWZ","2020-01-22","2020-08-17"
"ETH","2020-01-22","2020-08-17"
"FJI","2020-01-22","2020-08-17"
"FIN","2020-01-22","2020-08-17"
"FRA","2020-01-22","2020-08-17"
"GAB","2020-01-22","2020-08-17"
"GMB","2020-01-22","2020-08-17"
"GEO","2020-01-22","2020-08-17"
"DEU","2020-01-22","2020-08-17"
"GHA","2020-01-22","2020-08-17"
"GRC","2020-01-22","2020-08-17"
"GRD","2020-01-22","2020-08-17"
"GTM","2020-01-22","2020-08-17"
"GIN","2020-01-22","2020-08-17"
"GNB","2020-01-22","2020-08-17"
"GUY","2020-01-22","2020-08-17"
"HTI","2020-01-22","2020-08-17"
"HND","2020-01-22","2020-08-17"
"HUN","2020-01-22","2020-08-17"
"ISL","2020-01-22","2020-08-17"
"IND","2020-01-22","2020-08-17"
"IDN","2020-01-22","2020-08-17"
"IRN","2020-01-22","2020-08-17"
"IRQ","2020-01-22","2020-08-17"
"IRL","2020-01-22","2020-08-17"
"ISR","2020-01-22","2020-08-17"
"ITA","2020-01-22","2020-08-17"
"JAM","2020-01-22","2020-08-17"
"JPN","2020-01-22","2020-08-17"
"JOR","2020-01-22","2020-08-17"
"KAZ","2020-01-22","2020-08-17"
"KEN","2020-01-22","2020-08-17"
"KOR","2020-01-22","2020-08-17"
"KWT","2020-01-22","2020-08-17"
"KGZ","2020-01-22","2020-08-17"
"LVA","2020-01-22","2020-08-17"
"LBN","2020-01-22","2020-08-17"
"LSO","2020-01-22","2020-08-17"
"LBR","2020-01-22","2020-08-17"
"LBY","2020-01-22","2020-08-17"
"LIE","2020-01-22","2020-08-17"
"LTU","2020-01-22","2020-08-17"
"LUX","2020-01-22","2020-08-17"
"MDG","2020-01-22","2020-08-17"
"MWI","2020-01-22","2020-08-17"
"MYS","2020-01-22","2020-08-17"
"MDV","2020-01-22","2020-08-17"
"MLI","2020-01-22","2020-08-17"
"MLT","2020-01-22","2020-08-17"
"MRT","2020-01-22","2020-08-17"
"MUS","2020-01-22","2020-08-17"
"MEX","2020-01-22","2020-08-17"
"MCO","2020-01-22","2020-08-17"
"MNG","2020-01-22","2020-08-17"
"MNE","2020-01-22","2020-08-17"
"MAR","2020-01-22","2020-08-17"
"MOZ","2020-01-22","2020-08-17"
"NAM","2020-01-22","2020-08-17"
"NPL","2020-01-22","2020-08-17"
"NLD","2020-01-22","2020-08-17"
"NZL","2020-01-22","2020-08-17"
"NIC","2020-01-22","2020-08-17"
"NER","2020-01-22","2020-08-17"
"NGA","2020-01-22","2020-08-17"
"MKD","2020-01-22","2020-08-17"
"NOR","2020-01-22","2020-08-17"
"OMN","2020-01-22","2020-08-17"
"PAK","2020-01-22","2020-08-17"
"PAN","2020-01-22","2020-08-17"
"PNG","2020-01-22","2020-08-17"
"PRY","2020-01-22","2020-08-17"
"PER","2020-01-22","2020-08-17"
"PHL","2020-01-22","2020-08-17"
"POL","2020-01-22","2020-08-17"
"PRT","2020-01-22","2020-08-17"
"QAT","2020-01-22","2020-08-17"
"ROU","2020-01-22","2020-08-17"
"RUS","2020-01-22","2020-08-17"
"RWA","2020-01-22","2020-08-17"
"KNA","2020-01-22","2020-08-17"
"LCA","2020-01-22","2020-08-17"
"VCT","2020-01-22","2020-08-17"
"SMR","2020-01-22","2020-08-17"
"STP","2020-01-22","2020-08-17"
"SAU","2020-01-22","2020-08-17"
"SEN","2020-01-22","2020-08-17"
"SRB","2020-01-22","2020-08-17"
"SYC","2020-01-22","2020-08-17"
"SLE","2020-01-22","2020-08-17"
"SGP","2020-01-22","2020-08-17"
"SVK","2020-01-22","2020-08-17"
"SVN","2020-01-22","2020-08-17"
"SOM","2020-01-22","2020-08-17"
"ZAF","2020-01-22","2020-08-17"
"SSD","2020-01-22","2020-08-17"
"ESP","2020-01-22","2020-08-17"
"LKA","2020-01-22","2020-08-17"
"SDN","2020-01-22","2020-08-17"
"SUR","2020-01-22","2020-08-17"
"SWE","2020-01-22","2020-08-17"
"CHE","2020-01-22","2020-08-17"
"TJK","2020-01-22","2020-08-17"
"THA","2020-01-22","2020-08-17"
"TLS","2020-01-22","2020-08-17"
"TGO","2020-01-22","2020-08-17"
"TTO","2020-01-22","2020-08-17"
"TUN","2020-01-22","2020-08-17"
"TUR","2020-01-22","2020-08-17"
"USA","2020-01-22","2020-08-17"
"UGA","2020-01-22","2020-08-17"
"UKR","2020-01-22","2020-08-17"
"ARE","2020-01-22","2020-08-17"
"GBR","2020-01-22","2020-08-17"
"URY","2020-01-22","2020-08-17"
"UZB","2020-01-22","2020-08-17"
"VEN","2020-01-22","2020-08-17"
"VNM","2020-01-22","2020-08-17"
"ESH","2020-01-22","2020-08-17"
"YEM","2020-01-22","2020-08-17"
"ZMB","2020-01-22","2020-08-17"
"ZWE","2020-01-22","2020-08-17"
